ana_id|n
AB'IX|17
ACHAQ'_IB'OY|1
AJ|10
AJACHE'|2
AJAL_MES|3
AJAL_PUJ|7
AJAL_Q'ANA|7
AJAL_TOQ'OB|3
AJAW_AJPOP|1
AJAW_AJPOP_K'AMJA|1
AJAW_AJTZIK_WINAQ|2
AJAW_AWILIX|2
AJAW_JAQAWITZ|2
AJAW_K'ICHE'|15
AJAW_K'OTUJA_NJONCE|1
AJAW_LOLMET|2
AJAW_NIM_CH'OKOJ|2
AJAW_Q'ALEL|4
AJAW_Q'ALEL_K'AMJA|1
AJB'ATENA_JA|1
AJB'IS|1
AJBATENAJA|1
AJCH'UMILA_JA|1
AJCH'UT|1
AJK'UWAL|1
AJKIB'A_JA|2
AJLAB'AL|1
AJLATZAB'|1
AJMAK|1
AJMOKEN|1
AJMOX_WACH|1
AJMUQULIK_K'U'X|1
AJPATAN|1
AJPOP|6
AJPOP_K'AMJA|6
AJPOP_SOTZ'IL|1
AJPOP_XAJIL|1
AJQ'UKUMATZ|1
AJRAXA_LAQ|1
AJRAXA_TZEL|1
AJTOJIL|1
AJTOLTEKAT|1
AJTUKUR|1
AJTZ'ALAM|1
AJTZ'IKINA_JA|7
AJTZA|1
AJTZIK_WINAQ|6
AJTZIK_WINAQ_AJAW|1
AJYAMANIK|1
AJ_KAB'RAQAN|1
AJ_MAQ'A|1
AKUL_WINAQ|1
ALOM|10
AMAQ'_TAM|2
AMAQ'_UQ'IN_K'AT|1
AQ|3
AQAJ|1
ASTAPULUL|1
AWILIX|29
B'ALAM|21
B'ALAM_ KOLOB'|2
B'ALAM_AQ'AB'|62
B'ALAM_JA|3
B'ALAM_K'ONACHE'_KQTRES|2
B'ALAM_KI'TZE'|65
B'AQ|2
B'ATE|8
B'ATZ'A_NJSEIS'|1
B'ELEJEB'_KEJ_NJCUATRO|2
B'ELEJEB'_KEJ_NJNUEVE|1
B'ELEJEB'_T'ZI'_KQDOCE|1
B'ITOL|22
B'OQOTAJINAQ_SANAYEB'|1
CH'ABI'_TUKUR|2
CH'ABI_Q'AQ'|1
CH'AMIYA_BAQ|7
CH'AMIYA_JOLOM|7
CH'IPI_KAQULJA|8
CH'IPI_NANAWAK|1
CH'ITIK|1
CH'O|15
CHAAJ|24
CHAAJ'|1
CHAJAL_ECHA'|1
CHAMALKAN|1
CHAYIM_JA|4
CHIMALMAT|3
CHITEMAJ|1
CHIYOM|1
CHI_CHAQ'|1
CHI_ISMACHI'|10
CHI_JUNAJPU|1
CHI_K'IX|2
CHI_PIXAB'|3
CHI_Q'AQ'|1
CHI_RATINIB'AL_TOJIL|3
CHOLOCHIK_AB'AJ|1
CHOMI_JA'|2
CHULIMAL|2
CHUQ'ANAL|1
CHUWA_TZ'AQ|1
CHUWI'_MEQ'ENA'|1
CHUWI_MEQ'ENA'|1
DIOS|1
DONADIU|1
DON_CRISTÓBAL_NJDOCE|1
DON_JUAN_CORTES_KQCATORCE|1
DON_JUAN_DE_ROJAS_KQCATORCE|1
DON_PEDRO_DE_ROBLES_NJTRECE|1
EWAB'AL_SIWAN|1
IB'OY|1
IK|6
IK'OQ'IJ|7
IKAJ|7
ILOKAB'|21
IQ'I_B'ALAM|47
ISTAYUL_KQCUATRO|4
ISTAYUL_KQOCHO|1
ISTAYUL_KQSEIS|2
ISTAYUL_NJSIETE|1
IXB'AQIYALO|4
IXBAQ'IYALO|1
IXIM|10
IXKAKAW|1
IXKIK'|53
IXMUKANE|105
IXOQ_AJAWAB'|17
IXPUCH'|6
IXQ'ANIL|1
IXTAJ|6
IXTAJ_IXPUCH'|25
IXTOJ|1
IXTZIYA'|1
JA'_SIMAJ|1
JAL|10
JAQAWITZ|29
JAQAWITZ_JUYUB'|20
JA_CHI_Q'AQ''|1
JOJ|1
JOLOM|1
JOLOM_OKOX|1
JOLOM_TUKUR|1
JOM|14
JULISNAB'|1
JUMETA_JA|1
JUNAJPU|75
JUNAJPU_JUYUB'|1
JUNAJPU_K'OY|2
JUNAJPU_UTIW|4
JUNAJPU_WUCH'|4
JUN_B'ATZ|26
JUN_B'ATZ'_JUN_CHOWEN|14
JUN_CHOWEN|26
JUN_JUNAJPU|59
JUN_KAME'|43
JUN_KAME'_WUQUB'_KAME|6
JUN_KAME'_WUQUB'_KAME'|1
JUN_RAQAN|14
JUN_TOJ|1
JUN_WINAQ|5
JURAQAN_TUKUR|2
K'AJB'A_JA|1
K'AJOLOM|10
K'ANTI'|4
K'AWEX|1
K'AYALA'|2
K'EL|1
K'ELETZU|1
K'ENECH_AJAW|1
K'IKAB'_KQDIEZ|1
K'IKAB'_KQSIETE|13
K'IM|1
K'O'AJAW|1
K'O'AJAW_AKDOS|3
K'O'AKUL|1
K'O'AKUL_NJDOS|1
K'O'AKUTEK_NJDOS|3
K'OCHAJUJ_NJTRES|1
K'OJAJ|1
K'OKA'IB_KQDOS|5
K'OKAMEL_AKSIETE|1
K'OKOSOM_AKCUATRO|1
K'OOL|2
K'OQAWIB_KQDOS|3
K'OTAL|6
K'OTK'OWACH|1
K'OTUJA_KQCINCO|5
K'OTUJA_KQCUATRO|6
K'OTUJA_NJCINCO|1
K'OTUJA_NJOCHO|1
K'OTZ'IB'AJA_NJTRES|1
K'OY|6
K'OYABAKOJ_AKOCHO|1
K'ULB'A|1
K'ULKU_SIWAN|1
K'US_B'US|1
KA'|1
KA'IB'_K'AJOLAB'|101
KA'IB_KAJOLAB'|1
KA'MUL_ALOM|1
KA'MUL_K'AJOLOM|1
KAB'|1
KAB'RAQAN|20
KAJIB'_UNIM_JA|2
KAK'IXA_JA'|2
KAKAW|2
KAMALOTZ'|1
KANCHAJELEB'|1
KAQA_B'E|2
KAQA_PALO_JA'|2
KAQCHIKELEB'|13
KAQIX_TUKUR|2
KAQUILJA_JUN_RAQAN|1
KAR|5
KAWEQ|17
KAWINAL|1
KAWISIMAJ_KQSIETE|9
KAWKEB'|1
KAXKON|1
KE'EMA|1
KE'EMA_NJDIEZ|1
KEJ|20
KIK'|47
KIK'_RE|4
KIK'_RIXK'AQ|3
KIK'_YA'|2
KINAQ'|1
KOAKUTEC|1
KOJ|9
KOMAJKUN_AKCINCO|1
KOTZ'I'J|23
KOTZB'ALAM|1
KUCHUMA_KIK'|12
KUMATZ|6
KUMATZ_AMAQ'|1
KUNAB'AL_TOJIL|1
KUWATEPECH_KQONCE|1
LAMAKIB'|1
LOLMET_KEJNAY|2
LOTZ_KIK'|1
MAJUK'UTAJ|60
MAKAMOB'|1
MAKUTAX|1
MAK_EK'|4
ME'AWAN|2
MEXICO|1
MIXKINA|5
MOLAY|1
MOTZ|21
MU'J|1
NAKXIT|4
NIJA'AIB|1
NIJA'IB|15
NIK'AQAJ_TAQ'AJ|1
